url,name,image_bias,freedom_rank,factual,country,bias
http://yournewswire.com/,Your News Wire,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://eluxemagazine.com,Eluxe Magazine,MBFCMixed.png,,MIXED,,CONSPIRACY-PSEUDOSCIENCE
http://www.exposinggovernment.com,Exposing Government,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://c2cjournal.ca/,C2C Journal,MBFCMostlyFactual.png,Canada 16/180,MOSTLY FACTUAL,Canada,RIGHT BIAS
https://shorensteincenter.org/,Shorenstein Center,MBFCHigh.png,,USA 45/180,HIGH,LEAST BIASED
https://www.occupy.com,Occupy.com,MBFCHigh.png,,USA 45/180,HIGH,LEFT BIAS
http://www.conspiracyplanet.com/,Conspiracy Planet,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
https://www.lcsun-news.com,Las Cruces Sun-News,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
http://thepremiumnews.com/,The Premium News,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.timesfreepress.com,Times Free Press,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
https://brexitcentral.com/,BrexitCentral,MBFCMixed.png,UK 33/180,MIXED,,RIGHT BIAS
https://thewashingtonreporter.com/,The Washington Reporter,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.charismanews.com/,Charisma News,MBFCMixed.png,USA 45/180,MIXED,USA,CONSPIRACY-PSEUDOSCIENCE
https://www.law.com/dailybusinessreview/,Daily Business Review,MBFCHigh.png,,HIGH,,LEAST BIASED
https://zcomm.org/zmag/,Z Magazine,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT BIAS
https://floridapolitics.com/,Florida Politics,MBFCHigh.png,,,,LEAST BIASED
https://www.americasfrontlinedoctors.com/,America’s Frontline Doctors,MBFCLow.png,,,,CONSPIRACY-PSEUDOSCIENCE
https://www.mediamatters.org,Media Matters,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT BIAS
http://www.thegoldwater.com/,The Goldwater,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.baltimoresun.com/,Baltimore Sun,MBFCHigh.png,USA 48/180,HIGH,USA,LEFT-CENTER BIAS
https://www.janes.com/,Janes Information Group,MBFCHigh.png,UK 35/180,HIGH,United Kingdom,LEAST BIASED
https://politizoom.com,Politizoom,MBFCMixed.png,USA 45/180,MIXED,USA,LEFT BIAS
https://neurosciencenews.com/,Neuroscience News,MBFCHigh.png,USA 45/180,HIGH,USA,PRO-SCIENCE
https://www.thebipartisanpress.com,The Bipartisan Press,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
http://www.empiresports.co/,Empire Sports News,,,,,SATIRE
https://www.insidephilanthropy.com,Inside Philanthropy,MBFCHigh.png,USA 48/180,HIGH,USA,LEFT-CENTER BIAS
https://www.facebook.com/conservativepoliticstoday/,Conservative Politics Today,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.infobae.com/,Infobae,MBFCHigh.png,,,,LEFT-CENTER BIAS
http://countdowntozerotime.com/,Countdown to Zerotime,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
https://www.blacklistednews.com/,Blacklisted News,MBFCMixed.png,USA 45/180,MIXED,USA,CONSPIRACY-PSEUDOSCIENCE
https://nypost.com/,New York Post,MBFCMixed.png,USA,MIXED,,RIGHT-CENTER BIAS
https://biodefense.com/,BioDefense,MBFCVeryLow.png,,USA 45/180,VERY LOW,CONSPIRACY-PSEUDOSCIENCE
https://www.thelist.com/,The List,MBFCMixed.png,USA 45/180,MIXED,USA,LEFT-CENTER BIAS
http://axiomnewsnetwork.com,Axiom News Network,MBFCMixed.png,USA 48/180,MIXED,USA,RIGHT BIAS
https://www.worldaffairsbrief.com,World Affairs Brief,MBFCVeryLow.png,USA 45/180,VERY LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://www.thelily.com/,The Lily,MBFCHigh.png,USA 45/180,HIGH,,LEFT BIAS
https://breakthrough.holylandnutrition.com/,HL12,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
http://www.proamericanews.com/,Pro-America News,MBFCLow.png,,,,QUESTIONABLE SOURCE
http://www.antinewsnetwork.com,Anti News Network,MBFCLow.png,,,,CONSPIRACY-PSEUDOSCIENCE
http://www.msmagazine.com/,Ms. (Magazine),MBFCHigh.png,,,,LEFT BIAS
,Questionable Sources,,,,,
https://theminnesotasun.com/,Minnesota Sun,MBFCMixed.png,USA 45/180,MIXED,USA,RIGHT BIAS
https://www.fox29.com/,WTXF-TV Fox 29,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
https://abc7chicago.com/,ABC7Chicago.com,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
https://thefullertoninformer.com/,The Fullerton Informer,MBFCVeryLow.png,USA 45/180,VERY LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://www.asahi.com/ajw,The Asahi Shimbun,MBFCHigh.png,,Japan 66/180,HIGH,LEFT-CENTER BIAS
https://www.icr.org/homepage/,Institute for Creation Research (ICR),MBFCVeryLow.png,LOW,VERY,USA,CONSPIRACY-PSEUDOSCIENCE
https://thenewtropic.com,The New Tropic,MBFCHigh.png,,USA 45/180,HIGH,LEFT-CENTER BIAS
https://www.savannahnow.com/,Savannah Morning News,MBFCHigh.png,USA,HIGH,,RIGHT-CENTER BIAS
